example;implementation;mean_time;median_time;min_time;cost;data;intensity;idx;slowdown;speedup;cost_rel;intensity_ref
random013;algorithm1;0.04683972525;0.046127773999999996;0.045183306;19859400000.0;12261800.0;1619.6153908887766;1;0.998175668095837;1.001827666173874;1.0;1619.6153908887766
random014;algorithm11;0.0020297188000000005;0.0020530095000000003;0.00166386;93513533.33333331;200900.0;465.473037995686;11;0.8262474829361068;1.2102911302633637;1.0600037784327059;439.12394225983076
random015;algorithm3;0.0018993117000000001;0.0018972185;0.001773674;641100000.0;3102500.0;206.63980660757454;3;0.7005565590110147;1.4274364962219663;1.0;206.63980660757454
random016;algorithm27;0.07255401525;0.07165436;0.071129357;16399360000.0;14080000.0;1164.7272727272727;27;0.9590010082612219;1.0427517712552918;1.0;1164.7272727272727
random017;algorithm0;0.12961283475000002;0.1294091175;0.120808639;23514005033.33333;10456700.0;2248.702270633501;0;1.0;1.0;1.0;2248.702270633501
random018;algorithm3;0.04629201445;0.0458924775;0.045130733000000006;16254688750.0;12220000.0;1330.1709288052373;3;0.9963726047154485;1.0036406011841197;1.0000000000000002;1330.170928805237
random019;algorithm0;0.01133640095;0.011223902000000001;0.010797621;3176645000.0;4743750.0;669.6484848484847;0;1.0;1.0;1.0;669.6484848484847
random020;algorithm2;0.0060997011;0.005913761;0.005820683;1282850833.3333335;1478750.0;867.5238095238096;2;0.9928782140660346;1.0071728695756152;1.0;867.5238095238096
random021;algorithm79;0.005163125749999999;0.004805123;0.004676106;342453333.3333333;720800.0;475.101738808731;79;0.8854351305655843;1.129388213184218;1.0;475.101738808731
random022;algorithm2;0.014777534400000004;0.014593095;0.014261778;4993170000.0;7905000.0;631.6470588235294;2;0.9781208744956461;1.0223685293656937;1.0;631.6470588235294
random023;algorithm7;0.0007947311500000002;0.0007936015000000001;0.000760303;315450000.0;1340000.0;235.41044776119404;7;0.8281635494015092;1.2074909608406121;1.0;235.41044776119404
random024;algorithm25;0.025414740550000002;0.0254322285;0.025072804;6197125000.0;6201250.0;999.3348115299336;25;0.9935717509408849;1.0064698387942568;1.0;999.3348115299336
random025;algorithm2;0.01969647335;0.019632397;0.019335003;4953900000.0;9975000.0;496.6315789473685;2;0.9606757492039958;1.0409339476182133;1.0;496.6315789473685
random026;algorithm4;0.0015245602999999998;0.0012685869999999998;0.00109899;506250000.0;1181250.0;428.57142857142856;4;0.9897663175584702;1.010339493534973;1.4995001666111296;285.8095238095238
random027;algorithm20;0.0217584033;0.021546076499999997;0.020794154;5086598333.333334;6312500.0;805.7977557755777;20;0.8248199879605892;1.2123857503411777;1.0000501340517614;805.7573598943895
random028;algorithm0;0.0295369357;0.028978663;0.028214537999999997;8841975000.0;10446550.0;846.401443538776;0;1.0;1.0;1.0;846.401443538776
random029;algorithm0;0.00107017325;0.0010461465000000001;0.001001051;11470000.0;2869050.0;3.997839005942734;0;1.0;1.0;1.0;3.997839005942734
random030;algorithm1;0.027737213700000003;0.027629049000000003;0.02477042;7675762500.0;5818750.0;1319.142857142857;1;0.9923424272476505;1.0077166636657755;1.0;1319.142857142857
random031;algorithm2;0.007519417400000001;0.007447388;0.007357139;2161441800.0;3120900.0;692.5700278765739;2;0.9927120632139328;1.0073414407421144;1.0;692.5700278765739
random032;algorithm6;0.0007843167500000001;0.0007819585000000001;0.000765052;11117416.666666666;319575.0;34.788130068580664;6;0.9831020737546292;1.017188374123589;1.0000224877441795;34.78734777960312
random033;algorithm1;0.0023248579999999995;0.0020981875000000002;0.00203168;180270000.0;465000.0;387.6774193548387;1;0.89338151552275;1.1193426130099229;1.000999500249875;387.29032258064524
random034;algorithm0;0.012688307999999999;0.008181387;0.007394116;465450000.0;3060000.0;152.10784313725492;0;1.0;1.0;1.0;152.10784313725492
random035;algorithm69;0.0227358224;0.022512203;0.02200711;9707366666.666666;7402500.0;1311.3632781717888;69;0.9847208616459114;1.015516212714891;1.050985543675279;1247.746256895193
random036;algorithm25;0.0036219394499999993;0.003615786;0.0035013059999999996;515200000.0;2880000.0;178.88888888888889;25;0.5743059190330588;1.7412322716152204;1.0012437810945274;178.66666666666663
random037;algorithm10;0.009373713350000002;0.007083528000000002;0.006794296;1836266666.6666667;3437500.0;534.1866666666667;10;0.9609353111087002;1.0406527769764522;1.0;534.1866666666667
random038;algorithm30;0.00122685395;0.0012510505;0.0010954690000000002;100250000.0;1251000.0;80.13589128697042;30;0.6201633813022951;1.6124783083775076;1.0;80.13589128697042
random039;algorithm0;0.0024175487;0.0023223740000000003;0.001795404;467850000.0;2832500.0;165.1721094439541;0;1.0;1.0;1.0;165.1721094439541
random040;algorithm18;0.00113542015;0.001144099;0.001023102;158573533.33333334;1061500.0;149.38627728057781;18;0.916775315664542;1.0907798049461346;1.0035351089179756;148.86004082273513
